seat_id,seat_row,seat_number,status
A1,A,1,available
A2,A,2,available
A3,A,3,available
A4,A,4,available
A5,A,5,available
A6,A,6,available
A7,A,7,available
A8,A,8,available
A9,A,9,available
A10,A,10,available
A11,A,11,available
A12,A,12,available
A13,A,13,available
A14,A,14,available
A15,A,15,available
A16,A,16,available
A17,A,17,available
A18,A,18,available
B1,B,1,available
B2,B,2,available
B3,B,3,available
B4,B,4,available
B5,B,5,available
B6,B,6,available
B7,B,7,available
B8,B,8,available
B9,B,9,available
B10,B,10,available
B11,B,11,available
B12,B,12,available
B13,B,13,available
B14,B,14,available
B15,B,15,available
B16,B,16,available
B17,B,17,available
B18,B,18,available
B19,B,19,available
B20,B,20,available
B21,B,21,available
B22,B,22,available
B23,B,23,available
B24,B,24,available
C1,C,1,available
C2,C,2,available
C3,C,3,available
C4,C,4,available
C5,C,5,available
C6,C,6,available
C7,C,7,available
C8,C,8,available
C9,C,9,available
C10,C,10,available
C11,C,11,available
C12,C,12,available
C13,C,13,available
C14,C,14,available
C15,C,15,available
C16,C,16,available
C17,C,17,available
C18,C,18,available
C19,C,19,available
C20,C,20,available
C21,C,21,available
C22,C,22,available
C23,C,23,available
C24,C,24,available
C25,C,25,available
C26,C,26,available
D1,D,1,available
D2,D,2,available
D3,D,3,available
D4,D,4,available
D5,D,5,available
D6,D,6,available
D7,D,7,available
D8,D,8,available
D9,D,9,available
D10,D,10,available
D11,D,11,available
D12,D,12,available
D13,D,13,available
D14,D,14,available
D15,D,15,available
D16,D,16,available
D17,D,17,available
D18,D,18,available
D19,D,19,available
D20,D,20,available
D21,D,21,available
D22,D,22,available
D23,D,23,available
D24,D,24,available
D25,D,25,available
D26,D,26,available
D27,D,27,available
E1,E,1,available
E2,E,2,available
E3,E,3,available
E4,E,4,available
E5,E,5,available
E6,E,6,available
E7,E,7,available
E8,E,8,available
E9,E,9,available
E10,E,10,available
E11,E,11,available
E12,E,12,available
E13,E,13,available
E14,E,14,available
E15,E,15,available
E16,E,16,available
E17,E,17,available
E18,E,18,available
E19,E,19,available
E20,E,20,available
E21,E,21,available
E22,E,22,available
E23,E,23,available
E24,E,24,available
E25,E,25,available
E26,E,26,available
E27,E,27,available
F1,F,1,available
F2,F,2,available
F3,F,3,available
F4,F,4,available
F5,F,5,available
F6,F,6,available
F7,F,7,available
F8,F,8,available
F9,F,9,available
F10,F,10,available
F11,F,11,available
F12,F,12,available
F13,F,13,available
F14,F,14,available
F15,F,15,available
F16,F,16,available
F17,F,17,available
F18,F,18,available
F19,F,19,available
F20,F,20,available
F21,F,21,available
F22,F,22,available
F23,F,23,available
F24,F,24,available
F25,F,25,available
F26,F,26,available
F27,F,27,available
G1,G,1,available
G2,G,2,available
G3,G,3,available
G4,G,4,available
G5,G,5,available
G6,G,6,available
G7,G,7,available
G8,G,8,available
G9,G,9,available
G10,G,10,available
G11,G,11,available
G12,G,12,available
G13,G,13,available
G14,G,14,available
G15,G,15,available
G16,G,16,available
G17,G,17,available
G18,G,18,available
G19,G,19,available
G20,G,20,available
G21,G,21,available
G22,G,22,available
G23,G,23,available
G24,G,24,available
G25,G,25,available
G26,G,26,available
G27,G,27,available
H1,H,1,available
H2,H,2,available
H3,H,3,available
H4,H,4,available
H5,H,5,available
H6,H,6,available
H7,H,7,available
H8,H,8,available
H9,H,9,available
H10,H,10,available
H11,H,11,available
H12,H,12,available
H13,H,13,available
H14,H,14,available
H15,H,15,available
H16,H,16,available
H17,H,17,available
H18,H,18,available
H19,H,19,available
H20,H,20,available
H21,H,21,available
H22,H,22,available
H23,H,23,available
H24,H,24,available
H25,H,25,available
H26,H,26,available
H27,H,27,available
J1,J,1,available
J2,J,2,available
J3,J,3,available
J4,J,4,available
J5,J,5,available
J6,J,6,available
J7,J,7,available
J8,J,8,available
J9,J,9,available
J10,J,10,available
J11,J,11,available
J12,J,12,available
J13,J,13,available
J14,J,14,available
J15,J,15,available
J16,J,16,available
J17,J,17,available
J18,J,18,available
J19,J,19,available
J20,J,20,available
J21,J,21,available
J22,J,22,available
J23,J,23,available
J24,J,24,available
J25,J,25,available
J26,J,26,available
J27,J,27,available
K1,K,1,available
K2,K,2,available
K3,K,3,available
K4,K,4,available
K5,K,5,available
K6,K,6,available
K7,K,7,available
K8,K,8,available
K9,K,9,available
K10,K,10,available
K11,K,11,available
K12,K,12,available
K13,K,13,available
K14,K,14,available
K15,K,15,available
K16,K,16,available
K17,K,17,available
K18,K,18,available
K19,K,19,available